imdb_id,title,soup
tt0114709,Toy Story,jealousi toy boy friendship friend rivalri boynextdoor newtoy toycomestolif tomhanks timallen donrickles johnlasseter johnlasseter johnlasseter animation comedy family
tt0113497,Jumanji,boardgam disappear basedonchildren'sbook newhom reclus giantinsect robinwilliams jonathanhyde kirstendunst joejohnston joejohnston joejohnston adventure fantasy family
tt0113228,Grumpier Old Men,fish bestfriend duringcreditssting waltermatthau jacklemmon ann-margret howarddeutch howarddeutch howarddeutch romance comedy
tt0114885,Waiting to Exhale,basedonnovel interracialrelationship singlemoth divorc chickflick whitneyhouston angelabassett lorettadevine forestwhitaker forestwhitaker forestwhitaker comedy drama romance
tt0113041,Father of the Bride Part II,babi midlifecrisi confid age daughter motherdaughterrelationship pregnanc contracept gynecologist stevemartin dianekeaton martinshort charlesshyer charlesshyer charlesshyer comedy
tt0113277,Heat,robberi detect bank obsess chase shoot thief honor murder suspens heist betray money gang catandmous criminalmastermind cultfilm ex-con heistmovi onelastjob loner neo-noir gunfight crimeep alpacino robertdeniro valkilmer michaelmann michaelmann michaelmann action crime drama thriller
tt0114319,Sabrina,pari brotherbrotherrelationship chauffeur longisland millionair harrisonford juliaormond gregkinnear sydneypollack sydneypollack sydneypollack comedy romance
tt0112302,Tom and Huck,jonathantaylorthomas bradrenfro rachaelleighcook peterhewitt peterhewitt peterhewitt action adventure drama family
tt0114576,Sudden Death,terrorist hostag explos vicepresid jean-claudevandamme powersboothe dorianharewood peterhyams peterhyams peterhyams action adventure thriller
tt0113189,GoldenEye,cuba falselyaccus secretident computervirus secretbas secretintelligenceservic kgb satellit specialcar cossack timebomb st.petersburgrussia ejectionseat redarmi piercebrosnan seanbean izabellascorupco martincampbell martincampbell martincampbell adventure action thriller
tt0112346,The American President,whitehous usapresid newlov widow michaeldouglas annettebening michaelj.fox robreiner robreiner robreiner comedy drama romance
tt0112896,Dracula: Dead and Loving It,dracula spoof leslienielsen melbrooks amyyasbeck melbrooks melbrooks melbrooks comedy horror
tt0112453,Balto,wolf alaska dog goos bearattack kevinbacon bobhoskins bridgetfonda simonwells simonwells simonwells family animation adventure
tt0113987,Nixon,usapresid presidentialelect watergatescand biographi govern historicalfigur anthonyhopkins joanallen powersboothe oliverstone oliverstone oliverstone history drama
tt0112760,Cutthroat Island,exoticisland treasur map ship scalp pirat geenadavis matthewmodine franklangella rennyharlin rennyharlin rennyharlin action adventure
tt0112641,Casino,poker drugabus 1970s overdos illegalprostitut robertdeniro sharonstone joepesci martinscorsese martinscorsese martinscorsese drama crime
tt0114388,Sense and Sensibility,bowl basedonnovel servant countrylif janeausten inherit militaryoffic perioddrama rainstorm horseandcarriag katewinslet emmathompson hughgrant anglee anglee anglee drama romance
tt0113101,Four Rooms,hotel newyear'sev witch bet hotelroom sperm losangel hoodlum womandirector episodefilm timroth antoniobanderas jenniferbeals allisonanders allisonanders allisonanders crime comedy
tt0112281,Ace Ventura: When Nature Calls,africa indigen humananimalrelationship bat jimcarrey ianmcneice simoncallow steveoedekerk steveoedekerk steveoedekerk crime comedy adventure
tt0113845,Money Train,brotherbrotherrelationship subway newyorkc newyorksubway trainrobberi wesleysnipes woodyharrelson jenniferlopez josephruben josephruben josephruben action comedy crime
tt0113161,Get Shorty,gambl miami basedonnovel job murder travel mafia money debt mobster busi hollywood gangster crime violenc drug produc con johntravolta genehackman renerusso barrysonnenfeld barrysonnenfeld barrysonnenfeld comedy thriller crime
tt0112722,Copycat,policebrut psycholog policeoper policeprotect serialkil psychologist cowardli sigourneyweaver hollyhunter willpatton jonamiel jonamiel jonamiel drama thriller
tt0112401,Assassins,competit assassin cia bank cat mexicanstandoff seattl hitman missionofmurd hiddencamera rivalri rescu shootout policechas sniperrifl silenc doublecross caribbean detroitmichigan sylvesterstallone antoniobanderas juliannemoore richarddonner richarddonner richarddonner action adventure crime thriller
tt0114168,Powder,deadanim shottodeath teenageboy heldatgunpoint teacherstudentrelationship albino faint psionicpow healingpow extrasensorypercept marysteenburgen seanpatrickflanery lancehenriksen victorsalva victorsalva victorsalva drama fantasy sciencefiction thriller
tt0113627,Leaving Las Vegas,individu prostitut alcohol casino loveatfirstsight lovesick filmproduc screenwrit hotelroom dyinganddeath rageandh unsoci alcohol losangel alcoholabus attemptedsuicid nicolascage elisabethshue juliansands mikefiggis mikefiggis mikefiggis drama romance
tt0114057,Othello,shakespear jealousi friend laurencefishburne irènejacob kennethbranagh oliverparker oliverparker oliverparker drama
tt0114011,Now and Then,1970s femalefriendship comingofag gynecologist womandirector christinaricci rosieo'donnell thorabirch leslilinkaglatter leslilinkaglatter leslilinkaglatter comedy drama family
tt0114117,Persuasion,captain napoleonicwar oldflam amandaroot ciaránhinds susanfleetwood rogermichell rogermichell rogermichell drama romance
tt0112682,The City of Lost Children,clone dream island eye dystopia age friendship rescu children girl childhood ronperlman dominiquepinon judithvittet jean-pierrejeunet jean-pierrejeunet jean-pierrejeunet fantasy sciencefiction adventure
tt0115012,Shanghai Triad,servant cabaret shanghai diva uncl mistress umbrella gongli libao-tian wangxiaoxiao zhangyimou zhangyimou zhangyimou drama crime
tt0112792,Dangerous Minds,rapmus karat highschool navaloffic teacher amusementpark michellepfeiffer georgedzundza courtneyb.vance johnn.smith johnn.smith johnn.smith drama crime
tt0114746,Twelve Monkeys,schizophrenia philadelphia timetravel post-apocalypt dystopia lethalvirus monkey subterranean brucewillis madeleinestowe bradpitt terrygilliam terrygilliam terrygilliam sciencefiction thriller mystery
tt0112431,Babe,sheep pig affect piglet talkinganim separ germanshepherd talkingpig christinecavanaugh miriammargolyes dannymann chrisnoonan chrisnoonan chrisnoonan fantasy drama comedy family
tt0112637,Carrington,england painter conscientiousobjector independentfilm soldier emmathompson jonathanpryce stevenwaddington christopherhampton christopherhampton christopherhampton history drama romance
tt0112818,Dead Man Walking,prison rape sociallydeprivedfamili penalti deathpenalti despair deathrow begnadigung therapist self-discoveri prisoncel courtcas deathsent doomedman sentenc lethalinject forgiv chariti rageandh unsoci rightandjustic court electricchair cowardli susansarandon seanpenn robertprosky timrobbins timrobbins timrobbins drama
tt0112286,Across the Sea of Time,peterreznick johnmcdonough avihoffman stephenlow stephenlow stephenlow adventure history drama family
tt0113442,It Takes Two,orphan identicaltwin kirstiealley steveguttenberg ashleyolsen andytennant andytennant andytennant comedy family romance
tt0112697,Clueless,puberti highschool makeamatch spoiledchild gayinterest conflict womandirector aliciasilverstone staceydash brittanymurphy amyheckerling amyheckerling amyheckerling comedy drama romance
tt0112749,"Cry, the Beloved Country",southafrica jamesearljones charless.dutton jackrobinson darrelljamesroodt darrelljamesroodt darrelljamesroodt drama
tt0114279,Richard III,england shakespear kidnap murder king ianmckellen annettebening jimbroadbent richardloncraine richardloncraine richardloncraine drama war
tt0112819,Dead Presidents,money lossofvirgin armoredtruck larenztate keithdavid christucker alberthughes alberthughes alberthughes action crime drama history
tt0114272,Restoration,jealousi medicin fountain court wealth glove robertdowneyjr. megryan samneill michaelhoffman michaelhoffman michaelhoffman drama romance
tt0113855,Mortal Kombat,martialart monster island gore sorcer tournament violenc basedonvideogam handtohandcombat christopherlambert robinshou lindenashby paulw.s.anderson paulw.s.anderson paulw.s.anderson action fantasy
tt0114681,To Die For,adulteri winter obsess televis newhampshir nicolekidman mattdillon joaquinphoenix gusvansant gusvansant gusvansant fantasy drama comedy thriller
tt0113347,How To Make An American Quilt,weddingvow marriagepropos marriedcoupl advic marriag love familyholiday extramaritalaffair grandmoth womandirector winonaryder annebancroft ellenburstyn jocelynmoorhouse jocelynmoorhouse jocelynmoorhouse drama romance
tt0114369,Se7en,self-fulfillingpropheci detect s.w.a.t. drugdeal eviscer lustandimpuls rageandh prideandvan insomnia investig pension polic serialkil bradpitt morganfreeman gwynethpaltrow davidfincher davidfincher davidfincher crime mystery thriller
tt0114148,Pocahontas,cultureclash settler forbiddenlov coloni music goldrush princess romanc nativeamerican anim virginia starcrossedlov crossculturalrelationship musket basedonmythsorfolklor 17thcenturi song animalsidekick irenebedard melgibson davidogdenstiers mikegabriel mikegabriel mikegabriel adventure animation drama family
tt0114916,When Night Is Falling,professor lgbt womandirector pascalebussières rachaelcrawford henryczerny patriciarozema patriciarozema patriciarozema drama romance
tt0114814,The Usual Suspects,law relat theft crimin criminalmastermind hungarian sibl stephenbaldwin gabrielbyrne chazzpalminteri bryansinger bryansinger bryansinger drama crime thriller
tt0113819,Mighty Aphrodite,prostitut adopt adoptivefath childless lookingforbirthpar adoptivemoth independentfilm illegalprostitut child woodyallen mirasorvino helenabonhamcarter woodyallen woodyallen woodyallen comedy romance
tt0110299,Lamerica,independentfilm enricoloverso micheleplacido piromilkani gianniamelio gianniamelio gianniamelio drama foreign
tt0112499,The Big Green,sport kidsandfamili soccer womandirector steveguttenberg oliviad'abo jayo.sanders hollygoldbergsloan hollygoldbergsloan hollygoldbergsloan action adventure comedy family
tt0113158,Georgia,alcohol artist music drug band jenniferjasonleigh marewinningham tedlevine ulugrosbard ulugrosbard ulugrosbard drama
tt0113321,Home for the Holidays,baltimor thanksgiv familyclan familyconflict womandirector hollyhunter robertdowneyjr. annebancroft jodiefoster jodiefoster jodiefoster comedy drama romance
tt0110877,The Postman,island letter postman fisherman poet philippenoiret massimotroisi mariagraziacucinotta michaelradford michaelradford michaelradford comedy drama romance
tt0112714,The Confessional,lothairebluteau patrickgoyette jean-louismillette robertlepage robertlepage robertlepage thriller drama mystery
tt0113419,The Indian in the Cupboard,cupboard game puppet parallelworld toycomestolif halscardino litefoot lindsaycrouse frankoz frankoz frankoz adventure family fantasy
tt0116260,Eye for an Eye,rape gun self-defens sallyfield kiefersutherland edharris johnschlesinger johnschlesinger johnschlesinger drama thriller
tt0113862,Mr. Holland's Opus,compos mentor deaf-mut music apprentic privatelif music disabl richarddreyfuss glenneheadly jaythomas stephenherek stephenherek stephenherek music drama family
tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,date slang hip-hop cousin parodi hood gang socialsatir racism gangster shawnwayans marlonwayans traceycherellejones parisbarclay parisbarclay parisbarclay comedy
tt0118002,Two If by Sea,island paint thief seasick sandrabullock denisleary yaphetkotto billbennett billbennett billbennett comedy romance
tt0115683,Bio-Dome,biotop vegetarian pollut paulyshore stephenbaldwin joeylaurenadams jasonbloom jasonbloom jasonbloom comedy
tt0116839,Lawnmower Man 2: Beyond Cyberspace,hacker virtualr comput swordfight patrickbergin mattfrewer austino'brien farhadmann farhadmann farhadmann action sciencefiction
tt0113149,French Twist,lovetriangl southernfr estateag menageatroi van womandirector victoriaabril josianebalasko alainchabat josianebalasko josianebalasko josianebalasko comedy romance
